id,speaker,text
101,受访者F,我们这边讲究的是礼数
102,受访者F,家里老人身体还行
103,访谈者,家里老人身体还行
104,受访者E,以前结婚要摆三天酒现在一天就完了
105,受访者F,家里老人身体还行
106,受访者E,这个节日以前很热闹的
107,访谈者,年轻人不懂这些规矩了
108,受访者E,现在谁还种地啊都是买着吃
109,受访者E,外面打工一年能挣不少钱
110,受访者D,外面打工一年能挣不少钱
111,受访者F,老人走了以后这些东西就没人记得了
112,受访者F,村里现在就剩老人和小孩
113,受访者D,这个节日以前很热闹的
114,受访者F,孩子上学要去县城住校
115,受访者F,我们村的祠堂前年刚修过
116,受访者D,家里老人身体还行
117,访谈者,现在年轻人都不愿意留在村里了
118,受访者E,孩子上学要去县城住校
119,受访者E,现在年轻人都不愿意留在村里了
120,受访者E,年轻人不懂这些规矩了
121,受访者D,孩子上学要去县城住校
122,受访者D,我们村的祠堂前年刚修过
123,受访者E,这个节日以前很热闹的
124,受访者E,家里老人身体还行
125,受访者F,现在年轻人都不愿意留在村里了
126,受访者E,我们这边讲究的是礼数
127,受访者E,以前结婚要摆三天酒现在一天就完了
128,受访者E,现在谁还种地啊都是买着吃
129,受访者D,现在年轻人都不愿意留在村里了
130,访谈者,我们村的祠堂前年刚修过
131,访谈者,现在年轻人都不愿意留在村里了
132,受访者F,我们村的祠堂前年刚修过
133,受访者E,现在谁还种地啊都是买着吃
134,受访者D,以前结婚要摆三天酒现在一天就完了
135,受访者F,这个节日以前很热闹的
136,受访者E,村里现在就剩老人和小孩
137,受访者F,年轻人不懂这些规矩了
138,受访者D,现在年轻人都不愿意留在村里了
139,受访者E,外面打工一年能挣不少钱
140,受访者F,这个节日以前很热闹的
