id,speaker,text
1,受访者C,小孩都在镇上读书
2,访谈者,这个手艺现在没几个人会了
3,受访者B,以前都是走路去赶集现在有车了
4,受访者B,村里的老人越来越少见了
5,受访者A,我们这边的婚俗这几年变化挺大的
6,访谈者,这个手艺现在没几个人会了
7,受访者A,老一辈还是很看重这个仪式
8,受访者B,年轻人出去打工以后回来就不太一样了
9,访谈者,老一辈还是很看重这个仪式
10,访谈者,小孩都在镇上读书
11,受访者B,这个手艺现在没几个人会了
12,访谈者,我们这边的婚俗这几年变化挺大的
13,受访者C,村里的老人越来越少见了
14,受访者A,我们这边的婚俗这几年变化挺大的
15,受访者C,小孩都在镇上读书
16,受访者B,老一辈还是很看重这个仪式
17,受访者B,老一辈还是很看重这个仪式
18,受访者C,我们这边的婚俗这几年变化挺大的
19,受访者B,现在办酒席的钱比以前多很多
20,受访者B,年轻人出去打工以后回来就不太一样了
21,受访者B,年轻人出去打工以后回来就不太一样了
22,受访者B,这个手艺现在没几个人会了
23,访谈者,这个手艺现在没几个人会了
24,受访者B,我们这边的婚俗这几年变化挺大的
25,受访者B,老一辈还是很看重这个仪式
26,访谈者,家里种的菜够自己吃
27,受访者C,小孩都在镇上读书
28,访谈者,以前都是走路去赶集现在有车了
29,受访者C,以前都是走路去赶集现在有车了
30,受访者C,现在办酒席的钱比以前多很多
31,受访者A,老一辈还是很看重这个仪式
32,受访者C,年轻人出去打工以后回来就不太一样了
33,受访者C,老一辈还是很看重这个仪式
34,受访者A,村里的老人越来越少见了
35,访谈者,现在办酒席的钱比以前多很多
36,受访者B,这个手艺现在没几个人会了
37,访谈者,年轻人出去打工以后回来就不太一样了
38,受访者C,老一辈还是很看重这个仪式
39,受访者A,家里种的菜够自己吃
40,访谈者,村里的老人越来越少见了
41,受访者B,过节的时候全村都会回来
42,受访者A,以前都是走路去赶集现在有车了
43,访谈者,我们这边的婚俗这几年变化挺大的
44,受访者C,年轻人出去打工以后回来就不太一样了
45,受访者A,我们这边的婚俗这几年变化挺大的
46,受访者A,过节的时候全村都会回来
47,访谈者,我们这边的婚俗这几年变化挺大的
48,受访者C,老一辈还是很看重这个仪式
49,受访者B,年轻人出去打工以后回来就不太一样了
50,受访者B,现在办酒席的钱比以前多很多
